technology,project,country,year,capacity_mw,energy_mwh,metric,value,unit,currency,currency_year,point_type,source,url,note
smr-nuclear,Rolls-Royce SMR (vendor claim),UK,2030,470,,lcoe,40,GBP/MWh,GBP,2021,benchmark_range_low,"World Nuclear News, 11 Feb 2021",https://world-nuclear-news.org/Articles/Rolls-Royce-on-track-for-2030-delivery-of-UK-SMR,vendor claim £40-60/MWh over 60 years
smr-nuclear,Rolls-Royce SMR (vendor claim),UK,2030,470,,lcoe,60,GBP/MWh,GBP,2021,benchmark_range_high,"World Nuclear News, 11 Feb 2021",https://world-nuclear-news.org/Articles/Rolls-Royce-on-track-for-2030-delivery-of-UK-SMR,
smr-nuclear,EIA AEO2025 SMR 6x80 MW,USA,2023,480,,capex_per_kw,8936,USD/kW,USD,2023,estimate,"EIA / Sargent & Lundy, Capital Cost and Performance Characteristics for Utility-Scale Electric Power Generating Technologies (AEO2025, Dec 2023)",https://www.eia.gov/analysis/studies/powerplants/capitalcost/pdf/capital_cost_AEO2025.pdf,"Table 1-2 case 10, overnight 2023$"
smr-nuclear,EIA AEO2025 SMR 6x80 MW,USA,2023,480,,fom,121.99,USD/kW-yr,USD,2023,estimate,"EIA / Sargent & Lundy, Capital Cost and Performance Characteristics for Utility-Scale Electric Power Generating Technologies (AEO2025, Dec 2023)",https://www.eia.gov/analysis/studies/powerplants/capitalcost/pdf/capital_cost_AEO2025.pdf,Table 1-2 case 10
smr-nuclear,EIA AEO2025 SMR 6x80 MW,USA,2023,480,,vom,3.19,USD/MWh,USD,2023,estimate,"EIA / Sargent & Lundy, Capital Cost and Performance Characteristics for Utility-Scale Electric Power Generating Technologies (AEO2025, Dec 2023)",https://www.eia.gov/analysis/studies/powerplants/capitalcost/pdf/capital_cost_AEO2025.pdf,Table 1-2 case 10
CCGT,NextEra last CCGT built (2022),USA,2022,,,capex_per_kw,785,USD/kW,USD,2022,final_cost,"Gas Outlook quoting NextEra CEO at CERAWeek, 25 Mar 2025",https://gasoutlook.com/analysis/costs-to-build-gas-plants-triple-says-ceo-of-nextera-energy/,'we built our last gas-fired facility in 2022 at $785/kW'
CCGT,NextEra same CCGT quoted today,USA,2025,,,capex_per_kw,2400,USD/kW,USD,2025,estimate,"Gas Outlook quoting NextEra CEO at CERAWeek, 25 Mar 2025",https://gasoutlook.com/analysis/costs-to-build-gas-plants-triple-says-ceo-of-nextera-energy/,"'same unit today ... $2,400/kW', up to $3,000/kW"
CCGT,Duke Energy Anderson County CC,USA,2031,1365,,capex_per_kw,2344,USD/kW,USD,2025,estimate,"Upstate Business Journal, 26 Mar 2026",https://upstatebusinessjournal.com/energy/public-service-commission-approves-new-gas-generation-plant-in-anderson-county/,"$3.2bn / 1,365 MW = 2,344; SC PSC approval Mar 2026; price year taken as 2025"
CCGT,Duke Energy Indiana Cayuga CC,USA,2029,1476,,capex_per_kw,2256,USD/kW,USD,2025,estimate,"GridLab / Energy Futures Group / Halcyon, The New Reality of Power Generation: gas turbine costs (Sep 2025), Table 1-2",https://gridlab.org/wp-content/uploads/2025/09/GridLab_Gas-Turbine-Costs-Report-1.pdf,"$3,330m / 1,476 MW; announced Feb 2025"
CCGT,Entergy Texas Legend Power Station,USA,2028,754,,capex_per_kw,2125,USD/kW,USD,2024,estimate,"GridLab / Energy Futures Group / Halcyon, The New Reality of Power Generation: gas turbine costs (Sep 2025), Table 1-2",https://gridlab.org/wp-content/uploads/2025/09/GridLab_Gas-Turbine-Costs-Report-1.pdf,"$1,602m / 754 MW; announced Jun 2024"
CCGT,Entergy Texas Orange County APS,USA,2026,1215,,capex_per_kw,1300,USD/kW,USD,2021,estimate,"GridLab / Energy Futures Group / Halcyon, The New Reality of Power Generation: gas turbine costs (Sep 2025), Table 1-2",https://gridlab.org/wp-content/uploads/2025/09/GridLab_Gas-Turbine-Costs-Report-1.pdf,"$1,580m / 1,215 MW; announced Sep 2021 (pre-2023 pricing)"
CCGT,Kentucky Utilities Brown 12,USA,2030,645,,capex_per_kw,2144,USD/kW,USD,2025,estimate,"GridLab / Energy Futures Group / Halcyon, The New Reality of Power Generation: gas turbine costs (Sep 2025), Table 1-2",https://gridlab.org/wp-content/uploads/2025/09/GridLab_Gas-Turbine-Costs-Report-1.pdf,"$1,383m / 645 MW; announced Feb 2025; Mill Creek 5 (COD 2027) $1,427/kW"
CCGT,Homer City (PA) data-centre CCGT,USA,2028,4500,,capex_per_kw,2222,USD/kW,USD,2025,estimate,"GridLab / Energy Futures Group / Halcyon, The New Reality of Power Generation: gas turbine costs (Sep 2025), Table 1-2",https://gridlab.org/wp-content/uploads/2025/09/GridLab_Gas-Turbine-Costs-Report-1.pdf,"$10bn / 4,500 MW; developer estimate, Apr 2025"
CCGT,Keadby 2 (SSE),UK,2022,840,,capex_per_kw,417,GBP/kW,GBP,2019,estimate,NS Energy project profile,https://www.nsenergybusiness.com/projects/keadby-2-combined-cycle-power-plant-north-lincolnshire/,£350m / 840 MW construction-phase estimate; commissioned 2022
CCGT,Grudziadz CCGT EPC (Orlen/Metlen),Poland,2025,560,,capex_per_kw,361,EUR/kW,EUR,2022,estimate,Metlen project page,https://www.metlen.com/projects/combined-cycle-power-plant-of-560mw-grudziadz-poland/,"EPC contract ~€202m / 560 MW; EPC scope only, excludes owner's costs and grid connection"
CCGT,EIA AEO2025 CC 2x2x1 H-class,USA,2023,1227,,capex_per_kw,868,USD/kW,USD,2023,estimate,"EIA / Sargent & Lundy, Capital Cost and Performance Characteristics for Utility-Scale Electric Power Generating Technologies (AEO2025, Dec 2023)",https://www.eia.gov/analysis/studies/powerplants/capitalcost/pdf/capital_cost_AEO2025.pdf,"Table 1-2 case 5, overnight 2023$"
CCGT,EIA AEO2025 CC 2x2x1 H-class,USA,2023,1227,,fom,12.12,USD/kW-yr,USD,2023,estimate,"EIA / Sargent & Lundy, Capital Cost and Performance Characteristics for Utility-Scale Electric Power Generating Technologies (AEO2025, Dec 2023)",https://www.eia.gov/analysis/studies/powerplants/capitalcost/pdf/capital_cost_AEO2025.pdf,Table 1-2 case 5
CCGT,EIA AEO2025 CC 2x2x1 H-class,USA,2023,1227,,vom,3.41,USD/MWh,USD,2023,estimate,"EIA / Sargent & Lundy, Capital Cost and Performance Characteristics for Utility-Scale Electric Power Generating Technologies (AEO2025, Dec 2023)",https://www.eia.gov/analysis/studies/powerplants/capitalcost/pdf/capital_cost_AEO2025.pdf,Table 1-2 case 5
CCGT,Lazard LCOE+ 2025,USA,2025,1225,,lcoe,48,USD/MWh,USD,2025,benchmark_range_low,Lazard LCOE+ June 2025,https://www.lazard.com/media/eijnqja3/lazards-lcoeplus-june-2025.pdf,unsubsidised; gas $3.45/MMBtu; CF 90% (low) to 30% (high)
CCGT,Lazard LCOE+ 2025,USA,2025,1225,,lcoe,109,USD/MWh,USD,2025,benchmark_range_high,Lazard LCOE+ June 2025,https://www.lazard.com/media/eijnqja3/lazards-lcoeplus-june-2025.pdf,
CCGT,Lazard LCOE+ 2025,USA,2025,1225,,capex_per_kw,1200,USD/kW,USD,2025,benchmark_range_low,Lazard LCOE+ June 2025 key assumptions,https://www.lazard.com/media/eijnqja3/lazards-lcoeplus-june-2025.pdf,"total capital cost $1,200-1,600/kW"
CCGT,Lazard LCOE+ 2025,USA,2025,1225,,capex_per_kw,1600,USD/kW,USD,2025,benchmark_range_high,Lazard LCOE+ June 2025 key assumptions,https://www.lazard.com/media/eijnqja3/lazards-lcoeplus-june-2025.pdf,
CCGT,Lazard LCOE+ 2025 post-2028 market quotes,USA,2028,,,capex_per_kw,2400,USD/kW,USD,2025,benchmark_range_low,Lazard LCOE+ June 2025 footnote 7,https://www.lazard.com/media/eijnqja3/lazards-lcoeplus-june-2025.pdf,"recently observed market quotes for CCGT projects with post-2028 COD: $2,400-2,600/kW"
CCGT,Lazard LCOE+ 2025 post-2028 market quotes,USA,2028,,,capex_per_kw,2600,USD/kW,USD,2025,benchmark_range_high,Lazard LCOE+ June 2025 footnote 7,https://www.lazard.com/media/eijnqja3/lazards-lcoeplus-june-2025.pdf,
CCGT,Lazard LCOE+ 2025,USA,2025,1225,,fom,10,USD/kW-yr,USD,2025,benchmark_range_low,Lazard LCOE+ June 2025 key assumptions,https://www.lazard.com/media/eijnqja3/lazards-lcoeplus-june-2025.pdf,FOM $10.00-25.50/kW-yr
CCGT,Lazard LCOE+ 2025,USA,2025,1225,,fom,25.5,USD/kW-yr,USD,2025,benchmark_range_high,Lazard LCOE+ June 2025 key assumptions,https://www.lazard.com/media/eijnqja3/lazards-lcoeplus-june-2025.pdf,
CCGT,Lazard LCOE+ 2025,USA,2025,1225,,vom,2.75,USD/MWh,USD,2025,benchmark_range_low,Lazard LCOE+ June 2025 key assumptions,https://www.lazard.com/media/eijnqja3/lazards-lcoeplus-june-2025.pdf,VOM $2.75-5.00/MWh
CCGT,Lazard LCOE+ 2025,USA,2025,1225,,vom,5,USD/MWh,USD,2025,benchmark_range_high,Lazard LCOE+ June 2025 key assumptions,https://www.lazard.com/media/eijnqja3/lazards-lcoeplus-june-2025.pdf,
OCGT,EIA AEO2025 CT simple cycle H-class,USA,2023,419,,capex_per_kw,836,USD/kW,USD,2023,estimate,"EIA / Sargent & Lundy, Capital Cost and Performance Characteristics for Utility-Scale Electric Power Generating Technologies (AEO2025, Dec 2023)",https://www.eia.gov/analysis/studies/powerplants/capitalcost/pdf/capital_cost_AEO2025.pdf,"Table 1-2 case 4; aeroderivative 4x53 MW case 3 = $1,606/kW"
OCGT,EIA AEO2025 CT simple cycle H-class,USA,2023,419,,fom,6.87,USD/kW-yr,USD,2023,estimate,"EIA / Sargent & Lundy, Capital Cost and Performance Characteristics for Utility-Scale Electric Power Generating Technologies (AEO2025, Dec 2023)",https://www.eia.gov/analysis/studies/powerplants/capitalcost/pdf/capital_cost_AEO2025.pdf,Table 1-2 case 4
OCGT,EIA AEO2025 CT simple cycle H-class,USA,2023,419,,vom,1.24,USD/MWh,USD,2023,estimate,"EIA / Sargent & Lundy, Capital Cost and Performance Characteristics for Utility-Scale Electric Power Generating Technologies (AEO2025, Dec 2023)",https://www.eia.gov/analysis/studies/powerplants/capitalcost/pdf/capital_cost_AEO2025.pdf,"Table 1-2 case 4, plus $23,100 per start"
OCGT,Dominion Chesterfield Energy Reliability Center,USA,2029,944,,capex_per_kw,1557,USD/kW,USD,2025,estimate,"GridLab / Energy Futures Group / Halcyon, The New Reality of Power Generation: gas turbine costs (Sep 2025), Table 1-2",https://gridlab.org/wp-content/uploads/2025/09/GridLab_Gas-Turbine-Costs-Report-1.pdf,"$1,470m / 944 MW simple cycle; announced Mar 2025; Entergy Lone Star $1,699/kW, Castle Bluff $1,125/kW"
OCGT,Lazard LCOE+ 2025,USA,2025,550,,lcoe,149,USD/MWh,USD,2025,benchmark_range_low,Lazard LCOE+ June 2025,https://www.lazard.com/media/eijnqja3/lazards-lcoeplus-june-2025.pdf,"gas peaking, unsubsidised; CF 15% (low) to 10% (high)"
OCGT,Lazard LCOE+ 2025,USA,2025,550,,lcoe,251,USD/MWh,USD,2025,benchmark_range_high,Lazard LCOE+ June 2025,https://www.lazard.com/media/eijnqja3/lazards-lcoeplus-june-2025.pdf,
OCGT,Lazard LCOE+ 2025,USA,2025,550,,capex_per_kw,1150,USD/kW,USD,2025,benchmark_range_low,Lazard LCOE+ June 2025 key assumptions,https://www.lazard.com/media/eijnqja3/lazards-lcoeplus-june-2025.pdf,"gas peaking total capital cost $1,150-1,450/kW"
OCGT,Lazard LCOE+ 2025,USA,2025,550,,capex_per_kw,1450,USD/kW,USD,2025,benchmark_range_high,Lazard LCOE+ June 2025 key assumptions,https://www.lazard.com/media/eijnqja3/lazards-lcoeplus-june-2025.pdf,
OCGT,Lazard LCOE+ 2025,USA,2025,550,,fom,10,USD/kW-yr,USD,2025,benchmark_range_low,Lazard LCOE+ June 2025 key assumptions,https://www.lazard.com/media/eijnqja3/lazards-lcoeplus-june-2025.pdf,FOM $10-17/kW-yr
OCGT,Lazard LCOE+ 2025,USA,2025,550,,fom,17,USD/kW-yr,USD,2025,benchmark_range_high,Lazard LCOE+ June 2025 key assumptions,https://www.lazard.com/media/eijnqja3/lazards-lcoeplus-june-2025.pdf,
OCGT,Lazard LCOE+ 2025,USA,2025,550,,vom,3.5,USD/MWh,USD,2025,benchmark_range_low,Lazard LCOE+ June 2025 key assumptions,https://www.lazard.com/media/eijnqja3/lazards-lcoeplus-june-2025.pdf,VOM $3.50-5.00/MWh
OCGT,Lazard LCOE+ 2025,USA,2025,550,,vom,5,USD/MWh,USD,2025,benchmark_range_high,Lazard LCOE+ June 2025 key assumptions,https://www.lazard.com/media/eijnqja3/lazards-lcoeplus-june-2025.pdf,
allam-ccs,NET Power Project Permian (SN1),USA,2029,300,,capex_per_kw,5667,USD/kW,USD,2025,benchmark_range_low,"NET Power Q4 2024 results, 8-K exhibit 99.1, 10 Mar 2025",https://www.sec.gov/Archives/edgar/data/1845437/000184543725000009/ex991earningsrelease.htm,"total installed cost $1.7-2.0bn incl. FOAK, site-specific and owner costs; ~300 MW net; 1.7e9/300e3 = 5,667; COD no earlier than 2029, project paused for value engineering"
allam-ccs,NET Power Project Permian (SN1),USA,2029,300,,capex_per_kw,6667,USD/kW,USD,2025,benchmark_range_high,"NET Power Q4 2024 results, 8-K exhibit 99.1, 10 Mar 2025",https://www.sec.gov/Archives/edgar/data/1845437/000184543725000009/ex991earningsrelease.htm,"2.0e9/300e3 = 6,667"
allam-ccs,NET Power Project Permian (2023 estimate),USA,2027,300,,capex_per_kw,3333,USD/kW,USD,2023,estimate,"E&E News, 'NET Power delays low-emission Texas gas plant as costs climb', 11 Mar 2025",https://www.eenews.net/articles/net-power-delays-low-emission-texas-gas-plant-as-costs-climb/,Nov 2023 estimate ~$1bn / 300 MW; initial 2022 estimate $750-950m; superseded
solar-utility,Lazard LCOE+ 2025,USA,2025,150,,lcoe,38,USD/MWh,USD,2025,benchmark_range_low,Lazard LCOE+ June 2025,https://www.lazard.com/media/eijnqja3/lazards-lcoeplus-june-2025.pdf,unsubsidised utility-scale PV; CF 30% (low) to 20% (high)
solar-utility,Lazard LCOE+ 2025,USA,2025,150,,lcoe,78,USD/MWh,USD,2025,benchmark_range_high,Lazard LCOE+ June 2025,https://www.lazard.com/media/eijnqja3/lazards-lcoeplus-june-2025.pdf,
solar-utility,Lazard LCOE+ 2025,USA,2025,150,,capex_per_kw,1150,USD/kW,USD,2025,benchmark_range_low,Lazard LCOE+ June 2025 key assumptions,https://www.lazard.com/media/eijnqja3/lazards-lcoeplus-june-2025.pdf,"total capital cost $1,150-1,600/kW"
solar-utility,Lazard LCOE+ 2025,USA,2025,150,,capex_per_kw,1600,USD/kW,USD,2025,benchmark_range_high,Lazard LCOE+ June 2025 key assumptions,https://www.lazard.com/media/eijnqja3/lazards-lcoeplus-june-2025.pdf,
solar-utility,Lazard LCOE+ 2025,USA,2025,150,,fom,11,USD/kW-yr,USD,2025,benchmark_range_low,Lazard LCOE+ June 2025 key assumptions,https://www.lazard.com/media/eijnqja3/lazards-lcoeplus-june-2025.pdf,FOM $11-14/kW-yr
solar-utility,Lazard LCOE+ 2025,USA,2025,150,,fom,14,USD/kW-yr,USD,2025,benchmark_range_high,Lazard LCOE+ June 2025 key assumptions,https://www.lazard.com/media/eijnqja3/lazards-lcoeplus-june-2025.pdf,
solar-utility,EIA AEO2025 PV single-axis 150 MWac,USA,2023,150,,capex_per_kw,1502,USD/kW,USD,2023,estimate,"EIA / Sargent & Lundy, Capital Cost and Performance Characteristics for Utility-Scale Electric Power Generating Technologies (AEO2025, Dec 2023)",https://www.eia.gov/analysis/studies/powerplants/capitalcost/pdf/capital_cost_AEO2025.pdf,Table 1-2 case 16; FOM $20.23/kW-yr
solar-utility,EIA AEO2025 PV single-axis 150 MWac,USA,2023,150,,fom,20.23,USD/kW-yr,USD,2023,estimate,"EIA / Sargent & Lundy, Capital Cost and Performance Characteristics for Utility-Scale Electric Power Generating Technologies (AEO2025, Dec 2023)",https://www.eia.gov/analysis/studies/powerplants/capitalcost/pdf/capital_cost_AEO2025.pdf,Table 1-2 case 16
onwind,Lazard LCOE+ 2025,USA,2025,300,,lcoe,37,USD/MWh,USD,2025,benchmark_range_low,Lazard LCOE+ June 2025,https://www.lazard.com/media/eijnqja3/lazards-lcoeplus-june-2025.pdf,unsubsidised onshore wind; CF 55% (low) to 30% (high)
onwind,Lazard LCOE+ 2025,USA,2025,300,,lcoe,86,USD/MWh,USD,2025,benchmark_range_high,Lazard LCOE+ June 2025,https://www.lazard.com/media/eijnqja3/lazards-lcoeplus-june-2025.pdf,
